STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,SIMILR_INDUTY_STOR_CO,STOR_CO,FRC_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO
20262,A,골목상권,3110463,응암3동주민센터,CS200008,한의원,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200016,당구장,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200023,통신기기수리,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200024,스포츠클럽,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200025,자동차수리,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200027,모터사이클수리,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200028,미용실,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200029,네일숍,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200030,피부관리실,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200031,세탁소,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200033,부동산중개업,10.0,10.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200037,노래방,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200041,사진관,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200042,통번역서비스,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS200043,건축물청소,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300001,슈퍼마켓,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300002,편의점,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300004,핸드폰,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300008,수산물판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300009,청과상,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300011,일반의류,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300014,신발,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300016,안경,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300018,의약품,3.0,2.0,1.0,33.0,1.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300022,화장품,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300023,미용재료,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300024,운동/경기용품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300025,자전거 및 기타운송장비,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300026,완구,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300028,화초,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300031,가구,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300041,예술품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110463,응암3동주민센터,CS300043,전자상거래업,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS100001,한식음식점,22.0,21.0,1.0,5.0,1.0,9.0,2.0
20262,A,골목상권,3110464,연신내역 5번,CS100002,중식음식점,3.0,2.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS100003,일식음식점,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS100004,양식음식점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS100006,패스트푸드점,4.0,3.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS100007,치킨전문점,3.0,1.0,2.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS100008,분식전문점,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS100009,호프-간이주점,7.0,5.0,2.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS100010,커피-음료,11.0,10.0,1.0,18.0,2.0,9.0,1.0
20262,A,골목상권,3110464,연신내역 5번,CS200001,일반교습학원,22.0,17.0,5.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200002,외국어학원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200003,예술학원,12.0,8.0,4.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200004,컴퓨터학원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200005,스포츠 강습,7.0,6.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200008,한의원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200016,당구장,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200017,골프연습장,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200019,PC방,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200024,스포츠클럽,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200025,자동차수리,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200026,자동차미용,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200028,미용실,5.0,5.0,0.0,20.0,1.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200029,네일숍,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200030,피부관리실,4.0,4.0,0.0,0.0,0.0,25.0,1.0
20262,A,골목상권,3110464,연신내역 5번,CS200031,세탁소,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200033,부동산중개업,17.0,17.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200034,여관,1.0,1.0,0.0,0.0,0.0,100.0,1.0
20262,A,골목상권,3110464,연신내역 5번,CS200038,독서실,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200041,사진관,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200043,건축물청소,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS200047,가정용품임대,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300001,슈퍼마켓,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300002,편의점,2.0,0.0,2.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300003,컴퓨터및주변장치판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300004,핸드폰,3.0,3.0,0.0,0.0,0.0,33.0,1.0
20262,A,골목상권,3110464,연신내역 5번,CS300010,반찬가게,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300011,일반의류,10.0,10.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300016,안경,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300018,의약품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300019,의료기기,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300020,서적,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300021,문구,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300022,화장품,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300023,미용재료,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300024,운동/경기용품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300025,자전거 및 기타운송장비,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300028,화초,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300029,애완동물,4.0,3.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300033,철물점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300034,악기,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300036,조명용품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300038,자동차부품,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300040,재생용품 판매점,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110464,연신내역 5번,CS300043,전자상거래업,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS100001,한식음식점,33.0,32.0,1.0,3.0,1.0,3.0,1.0
20262,A,골목상권,3110465,연신내역 7번,CS100002,중식음식점,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS100003,일식음식점,2.0,2.0,0.0,0.0,0.0,50.0,1.0
20262,A,골목상권,3110465,연신내역 7번,CS100004,양식음식점,6.0,4.0,2.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS100005,제과점,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS100006,패스트푸드점,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS100007,치킨전문점,5.0,4.0,1.0,20.0,1.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS100008,분식전문점,6.0,4.0,2.0,17.0,1.0,17.0,1.0
20262,A,골목상권,3110465,연신내역 7번,CS100009,호프-간이주점,14.0,14.0,0.0,0.0,0.0,7.0,1.0
20262,A,골목상권,3110465,연신내역 7번,CS100010,커피-음료,18.0,15.0,3.0,17.0,3.0,6.0,1.0
20262,A,골목상권,3110465,연신내역 7번,CS200001,일반교습학원,16.0,15.0,1.0,0.0,0.0,6.0,1.0
20262,A,골목상권,3110465,연신내역 7번,CS200002,외국어학원,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200003,예술학원,5.0,4.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200005,스포츠 강습,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200006,일반의원,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200008,한의원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200016,당구장,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200021,기타오락장,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200024,스포츠클럽,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200028,미용실,13.0,13.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200029,네일숍,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200030,피부관리실,9.0,9.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200031,세탁소,6.0,5.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200032,가전제품수리,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200033,부동산중개업,7.0,7.0,0.0,0.0,0.0,14.0,1.0
20262,A,골목상권,3110465,연신내역 7번,CS200037,노래방,2.0,2.0,0.0,0.0,0.0,50.0,1.0
20262,A,골목상권,3110465,연신내역 7번,CS200038,독서실,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200041,사진관,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS200043,건축물청소,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300001,슈퍼마켓,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300002,편의점,4.0,0.0,4.0,25.0,1.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300003,컴퓨터및주변장치판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300004,핸드폰,6.0,6.0,0.0,17.0,1.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300005,주류도매,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300007,육류판매,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300010,반찬가게,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300011,일반의류,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300013,유아의류,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300015,가방,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300016,안경,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300018,의약품,4.0,4.0,0.0,0.0,0.0,25.0,1.0
20262,A,골목상권,3110465,연신내역 7번,CS300022,화장품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300032,가전제품,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300033,철물점,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300035,인테리어,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300041,예술품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110465,연신내역 7번,CS300043,전자상거래업,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS100001,한식음식점,21.0,19.0,2.0,10.0,2.0,5.0,1.0
20262,A,골목상권,3110466,구산역 2번,CS100003,일식음식점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS100004,양식음식점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS100005,제과점,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS100006,패스트푸드점,3.0,1.0,2.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS100007,치킨전문점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS100008,분식전문점,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS100009,호프-간이주점,5.0,5.0,0.0,20.0,1.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS100010,커피-음료,5.0,5.0,0.0,20.0,1.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200001,일반교습학원,10.0,9.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200002,외국어학원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200003,예술학원,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200009,동물병원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200016,당구장,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200024,스포츠클럽,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200025,자동차수리,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200028,미용실,14.0,13.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200030,피부관리실,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200032,가전제품수리,3.0,3.0,0.0,0.0,0.0,33.0,1.0
20262,A,골목상권,3110466,구산역 2번,CS200033,부동산중개업,8.0,8.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200034,여관,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200041,사진관,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS200043,건축물청소,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300001,슈퍼마켓,3.0,3.0,0.0,0.0,0.0,33.0,1.0
20262,A,골목상권,3110466,구산역 2번,CS300002,편의점,4.0,0.0,4.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300007,육류판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300008,수산물판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300009,청과상,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300010,반찬가게,1.0,1.0,0.0,0.0,0.0,100.0,1.0
20262,A,골목상권,3110466,구산역 2번,CS300011,일반의류,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300015,가방,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300016,안경,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300019,의료기기,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300020,서적,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300022,화장품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300027,섬유제품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300035,인테리어,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300036,조명용품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300038,자동차부품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300041,예술품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110466,구산역 2번,CS300043,전자상거래업,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS100001,한식음식점,34.0,32.0,2.0,3.0,1.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS100003,일식음식점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS100005,제과점,1.0,1.0,0.0,0.0,0.0,100.0,1.0
20262,A,골목상권,3110467,은평요양병원,CS100006,패스트푸드점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS100007,치킨전문점,3.0,2.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS100008,분식전문점,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS100009,호프-간이주점,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS100010,커피-음료,12.0,7.0,5.0,8.0,1.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200001,일반교습학원,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200003,예술학원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200005,스포츠 강습,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200006,일반의원,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200007,치과의원,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200016,당구장,5.0,4.0,1.0,20.0,1.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200017,골프연습장,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200019,PC방,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200022,복권방,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200024,스포츠클럽,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200028,미용실,10.0,10.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200029,네일숍,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200030,피부관리실,5.0,5.0,0.0,20.0,1.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200031,세탁소,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200033,부동산중개업,14.0,14.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200034,여관,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200037,노래방,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200041,사진관,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS200043,건축물청소,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20262,A,골목상권,3110467,은평요양병원,CS300001,슈퍼마켓,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300002,편의점,4.0,2.0,2.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300004,핸드폰,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300007,육류판매,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300008,수산물판매,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300009,청과상,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300010,반찬가게,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300011,일반의류,4.0,4.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300016,안경,3.0,2.0,1.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300018,의약품,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300019,의료기기,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300024,운동/경기용품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300027,섬유제품,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300028,화초,1.0,1.0,0.0,100.0,1.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300029,애완동물,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300031,가구,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300032,가전제품,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300033,철물점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300035,인테리어,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300036,조명용품,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300040,재생용품 판매점,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110467,은평요양병원,CS300043,전자상거래업,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110468,응암역 3번,CS100001,한식음식점,42.0,39.0,3.0,0.0,0.0,12.0,5.0
20262,A,골목상권,3110468,응암역 3번,CS100002,중식음식점,7.0,6.0,1.0,0.0,0.0,14.0,1.0
20262,A,골목상권,3110468,응암역 3번,CS100003,일식음식점,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20262,A,골목상권,3110468,응암역 3번,CS100004,양식음식점,3.0,2.0,1.0,33.0,1.0,0.0,0.0
20262,A,골목상권,3110468,응암역 3번,CS100005,제과점,6.0,4.0,2.0,0.0,0.0,17.0,1.0
